Row Number (For Sorting),Title,Alt Title,Author,Year,City,City Cleaned,Country,Database,Record Number,Data Entry Event,Coordinates
67,שחיטות ובדיקות.," ... עם הגהות מכתב אליהו, ה""ה ... ר' אליהו בהקדוש מוהר""ר מרדכי ז""ל שוחט ובודק ומוחזק דפה ק""ק זאלקווא יצ""ו, אשר אסף וקיבץ ... דינים והלכות פסוקות מהפוסקים ... ועיקר מספר ... שמלה חדשה ותבואות שור [מאת אלכסנדר סנדר ב""ר אפרים זלמן שור] ...","ווייל, יעקב בן יהודה",1767,זאלקווא.,Zhovkva,,BHB,131005,BHB Export,"50.058876, 23.973647"
68,שחיטות ובדיקות," ... עם ... פירוש אהל ישראל אשר ... חבר ... ר' ישראל זלה""ה שהיה אב""ד בק""ק קאפינהאגין ...","ווייל, יעקב בן יהודה",1768,פיורדא,Furth,,BHB,131006,BHB Export,"49.477117, 10.988667"
154,שחיטות ובדיקות : גבול בנימין \ Sheḥiṭot u-vediḳot : Gevul Binyamin,,"ווייל, יעקב בן יהודה, המאה ה־15. Jacob ben Judah Weil; Benjamin Wolf ben Meir Weinternitz; Vinograd Collection (University of Pennsylvania. Center for Judaic Studies)",1776,Prague,Prague,,WorldCat,63667867,WorldCat Export V3,"50.075538, 14.4378"
71,שחיטות ובדיקות," ... עם הגהות גבול בנימן, אשר אסף וקבץ... ר' בנימן וואלף בן הקדוש כהר""ר מאיר זצ""ל ווינטרניץ...","ווייל, יעקב בן יהודה",1777,פראג,Prague,,BHB,302001,BHB Export,"50.075538, 14.4378"
96,דיני שחיטות ובדיקות. Dine sheḥiṭot u-vediḳot.,,Yehudah Lev Aiger; Jewish Theological Seminary of America. Library.,1814,,,,WorldCat,828630314,WorldCat Export V3,#N/A
133,Sheḥiṭot u-vediḳot.,,"Moses, of Fürth.;  Jacob Moses, precentor and ne'eman of Mönchsroth.",1814,,,Germany,WorldCat,959580904,WorldCat Export V3,#N/A
177,‏זבחי שלמים :‏ ‏ ... הלכות שחיטות ובדיקות ... Zivḥe shelamim : ... hilkhot sheḥiṭot u-vediḳot ...,,,1816,Vienna,Vienna,,WorldCat,19194717,WorldCat Export V3,"48.208174, 16.373819"
277,Shehitot u-vedikot,Sh'hitoth uv;dikoth shel ha-rav,"Weil, Jacob b. Judah",1816,Wien,Vienna,,WorldCat,27311464,Summer Cataloguing,"48.208174, 16.373819"
125,Zivḥe shelamim : kolel hilkhot sheḥiṭot u-vediḳot,,Jakob Beck; I. Edward Kiev Judaica Collection.,1827,Wien,Vienna,,WorldCat,39527055,WorldCat Export V3,"48.208174, 16.373819"
180,Ohel Yitsḥaḳ : kolel dine sheḥiṭot u-vediḳot ʻal pi seder Yaʻaḳov Ṿayl : Leḳitat Yitsḥak ṿe-Zivḥe tamim ...,,"Yitsḥaḳ, Baʻal ha-mef̣aber Sefer Ohel Yitsḥaḳ.",1830,Sudilkov,Sudilkov,,WorldCat,19201519,WorldCat Export V3,"50.17319, 27.14619"
191,ספר זבחי רצון : כולל כל דיני שחיטות ובדיקות הראיה / Sefer Zivḥe ratson : kolel kol dine sheḥiṭot u-vediḳot ha-reʼiyah,,"פרענקעל, שרגא פייבש בן מתתיה, סגל. Sheraga Faibush ben M  Segal Frenḳel",1845,Kroṭoshin,Krotoshin,,WorldCat,122750869,WorldCat Export V3,"51.696528, 17.435943"
103,Ohel Yitsḥaḳ : kolel kol dine sheḥiṭot u-vediḳot ... : ṿe-saviv lo Leḳiṭat Yitsḥaḳ ṿe-Zivḥe tamim ...,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.",1850,Bratislava,Bratislava,,WorldCat,38195204,WorldCat Export V3,"48.148598, 17.107746"
256,,Sefer Tevah ve-hakhen,"Karo, Joseph",1859,Leipzig,Leipzig,,BHB,162279,Summer Cataloguing,"51.339696, 12.373075"
202,Shehitot u-vedikot,Maskinan Deshechita min hatzoar,"Weil, Jacob b. Judah",1530,Prague ,Prague,,BHB,000201917,Summer Cataloguing,"50.075538, 14.4378"
203,Shehitot u-vedikot,"שאלות ותשובות ‬
         ‫  והלכות שחיטה ובדיקה וחידושי דינין אשר חבר","Weil, Jacob b. Judah",1549,Venice,Venice,,BHB,000301988,Summer Cataloguing,"45.4408474, 12.3155151"
204,Bedikot,Bedikot,"Weil, Jacob b. Judah",1551,Venice,Venice,,BHB,000309281,Summer Cataloguing,"45.4408474, 12.3155151"
183,בדיקות : עם ההגהות והחדושים שליקט ואסף צבי בר יצחק יעקב זל ... / Bediḳot : ʿim ha-hagahot ṿeha-ḥidushim she-liḳeṭ ṿe-asaf Tsevi b.r. yitsḥaḳ Yaʿaḳov zal ...,,"Jacob ben Judah Weil;  Yitsḥak ben Aharon, mi-Prosṭits",1556,Krako,Krakow,,WorldCat,1019128976,WorldCat Export V3,"50.06465, 19.94498"
2,שחיטות ובדיקות," ... (עם הגהות רבות ... אשר מעולם לא נדפסו). בהשתדלות להוציאם לאורה ע""י הר""ר יודא ב""ר ישראל שליט הנקרא ליב ...","ווייל, יעקב בן יהודה",1561,קאנסקי וואלי,Kansi Valley,,BHB,130964,BHB Export,#N/A
211,Bedikot,Bedikot,"Weil, Jacob b. Judah",1570,Mantua ,Mantua,,BHB,301984,Summer Cataloguing,"45.1564168, 10.7913751"
212,Shehitot,"Shehitot (with all of the glosses from Mantua, notated on)","Weil, Jacob b. Judah",1571,Mantua ,Mantua,,BHB,130959,Summer Cataloguing,"45.1564168, 10.7913751"
213,Shealot vteshuvot,Shealot vteshuvot,"Weil, Jacob b. Judah",1575,Kushta (Constantinople?),Istanbul,,BHB,301989,Summer Cataloguing,"41.008238, 28.978359"
151,"Shaʻare Dura Sefer ha-sheʻarim, She-ḥibber R. Yitsḥaḳ mi-Dwrʼ[aus Dueren]; ʻIm hagahot Mhrrʼaj [d.i. Yi'srael Isserlein]; ve-ni-tosaf ḥibbur Shelomo Ben Yeḥiel Loria: ʻAṭeret Shelomo; ([Nebst:] Yaʻaḳov Weil: Sheḥiṭot u-bediḳot [mit Komm. v.] Shelomo Loria)",,Yitsḥaḳ Dueren; Yisrael Isserlein; Shelomo Ben-Yeḥiel Loria; Yaʻaḳov Weil,1598,Lublin,Lublin,,WorldCat,253911813,WorldCat Export V3,"51.246454, 22.568446"
258,Shehitot u-vedikot,Sefer ha-She'arim,"Weil, Jacob b. Judah",1599,Lublin,Lublin,,BHB,136800,Summer Cataloguing,"51.246454, 22.568446"
122,גרושין : ומשאו ומתנו בחידושים ופשטים / Gerushin : u-maśaʼo u-matano be-ḥidushim u-feshaṭim,,"קורדובירו, משה בן יעקב, 1522־1570. Moses ben Jacob Cordovero; David Hin; Joseph Gikatilla; Jacob Weil",1600,Venice,Venice,,WorldCat,122830599,WorldCat Export V3,"45.4408474, 12.3155151"
220,Shehitot u-vedikot,Tikunei zevah,"Weil, Jacob b. Judah",1604,Prague,Prague,,BHB,130970,Summer Cataloguing,"50.075538, 14.4378"
227, סדר קצר לידע הלכות שחיטה,,"Weil, Jacob b. Judah",1609,Venice,Venice,,BHB,130961,Summer Cataloguing,"45.4408474, 12.3155151"
230,Shehitot ,Shehitot (with glossaries from Rabbis),"Weil, Jacob b. Judah",1613,Krakow,Krakow,,BHB,313429,Summer Cataloguing,"50.06465, 19.94498"
231,Hilchot Shehitot u-vedikot,With pretty glossaries(with shortened Shehitot vBadikot forms),"Weil, Jacob b. Judah",1625,Prague,Prague,,BHB,301986,Summer Cataloguing,"50.075538, 14.4378"
153,Zeh ha-pinḳas shel sheḥiṭot ;,,"Isaiah ben Eliakim, of Ancona",1635,Pessaro,Pessaro,,WorldCat,7032569,WorldCat Export V3,"43.912476, 12.915549"
238,Hilchot Shehitot u-vedikot,"... עם פירוש וחידושים ... שנתופסו [!] ע""י ... ר’ (יהודה) ליברמן שוחט וגם ... הלכות ניקר[!] וגם דיני מליחה בלשון אשכנזי ...","Weil, Jacob b. Judah",1646,Prague,Prague,,BHB,130973,Summer Cataloguing,"50.075538, 14.4378"
201,Sefer sheḥiṭot;,,Ben Zion Ghirondi,1647,Padua,Padua,,WorldCat,1243676279,WorldCat Export V3,"45.4167, 11.8667"
17,שחיטות ובדיקות," של הגאון מהר""ר יעקב ווייל ז""ל, גם הגהות החדשים שליקט ואסף הר""ר צבי בר יצחק יעקב ז""ל, ממה שבא לידו... הוגה... על פי... ר' משה איסרלס ז""ל. וגם מה שהוסיף הגאון תמצא...","ווייל, יעקב בן יהודה",1652,קראקא,Krakow,,BHB,333410,BHB Export,"50.06465, 19.94498"
18,שחיטות ובדיקות," ... גם הגהו' החדשי' שליקט ... ר' צבי בר יצחק יעקב ז""ל ... הוגה ... על פי ... ר' משה איסרליס ז""ל וגם מה שהוסיף.","ווייל, יעקב בן יהודה",1654,קראקא,Krakow,,BHB,130974,BHB Export,"50.06465, 19.94498"
19,שחיטות ובדיקות.," ... עם הגהות והחדושים שליקט... ר' צבי י""ץ בר יצחק יעקב... אנשיל אשר ב""ר דוד... מ""ס [מוכר ספרים] (איש אולסום) הביא עוד הפעם גם עתה השחיטות והבדיקות... בהרמנת האב""ד של האשכנזים מהרר""א [ר' אברהם] בן הח""ר יהושע... גם הוגהו... על ידי... רפאל בר יחיאל מיכל... מענגבורגא, כותב סת""ם באמשטרדם.","ווייל, יעקב בן יהודה",1655,אמשטרדם.,Amsterdam,,BHB,301994,BHB Export,"52.3702157, 4.8951679"
20,שחיטות ובדיקות," של הגאון מהר""ר יעקב ווייל ז""ל. גם הגהות החדשי' שליקט ואסף הר""ר צבי בר יצחק יעקב ז""ל, ממה שבא לידו... והוגה... על פי... ר' משה איסרליס ז""ל. וגם מה שהוסיף המומחה הר""ר תנחום שוחט ז""ל מק""ק לובלין.","ווייל, יעקב בן יהודה",1663,קראקא,Krakow,,BHB,333407,BHB Export,"50.06465, 19.94498"
21,שחיטות ובדיקות," אחרי שראיתי רבים שאינם יכולים להזהר בכל הדינים מפני שהם מרובים, אמרתי... להדפיס בכרך קטן, כדי שיוכל לשאת אתו... וגם נתוסף הג""ה רבים שחיברו גאונים הקדמונים...",אלכסנדר סנדר בן מרדכי מפראג,1667,אמשטרדם,Amsterdam,,BHB,333556,BHB Export,"52.3702157, 4.8951679"
22,שחיטות ובדיקות,Title                (עם הגהות) ...,"ווייל, יעקב בן יהודה",1668,אמשטרדם,Amsterdam,,BHB,130975,BHB Export,"52.3702157, 4.8951679"
23,שחיטות ובדיקות," ... עם הגהות ישנים גם חדשים שלקט ואסף... ר' (קיים) קדיש (במהור""ר שלמה זלמן מלונטשץ) ר""מ ואב""ד דק""ק סנטיר [צ""ל: סמטיר] מספרי פוסקים קדמאי ובתראי...","ווייל, יעקב בן יהודה",1669,לובלין,Lublin,,BHB,333385,BHB Export,"51.246454, 22.568446"
24,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק (יעקב) ז""ל ...","ווייל, יעקב בן יהודה",1669,פראג,Prague,,BHB,130976,BHB Export,"50.075538, 14.4378"
25,שחיטות ובדיקות," ... עם הגהות ישנים גם חדשים שליקט ואיסף... ר' קדיש, ר""מ ואב""ד לע""ע בכל שכונת [?] מרק, מספרי פוסקים... גם מה ששמע מפי... ר' זלמן שהיה אב""ד בק""ק בריסק ומפי... ר' יצחק [ב""ר שמואל] סגל שחיבר השיח יצחק...","ווייל, יעקב בן יהודה",1670,[לובלין],Lublin,,BHB,333386,BHB Export,"51.246454, 22.568446"
26,שחיטות ובדיקות," של מה""ר יעקב וויל ז""ל... וחידושי דינים הרבה כפי מה שנמצאו בטור יורה דעה ובפוסקי' אחרונים... ויקראו בשם אהל יששכר, על שם המחבר... אשר... היה דיין בק""ק המבורג... ר' שמואל יששכר המכונה בער בן... ר' יהודה ליב מק""ק פראג, בן... ר' משה סופר זצ""ל","ווייל, יעקב בן יהודה",1670,פראג,Prague,,BHB,313428,BHB Export,"50.075538, 14.4378"
27,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק (יעקב) ז""ל...","ווייל, יעקב בן יהודה",1672,פראג,Prague,,BHB,177799,BHB Export,"50.075538, 14.4378"
31,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הה""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1675,פרנקפורט דמיין,Frankfurt,,BHB,130978,BHB Export,"50.1109221, 8.6821267"
32,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הה""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1677,פרנקפורט דאדרה,Frankfurt,,BHB,333398,BHB Export,"50.1109221, 8.6821267"
190,Sheḥiṭot,,Jacob ben Judah Weil,1677,,,,WorldCat,1193961149,WorldCat Export V3,#N/A
260,Shehitot u-vedikot,Zivḥu zivḥe tsedeḳ : Sheḥiṭot u-vediḳot,"Weil, Jacob b. Judah",1677,Wilhemlsdorf,Wilhemlsdorf,,WorldCat,123020449,Summer Cataloguing,#N/A
33,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק (יעקב) ז""ל...","ווייל, יעקב בן יהודה",1680,פראג,Prague,,BHB,301995,BHB Export,"50.075538, 14.4378"
241,Shehitot u-vedikot,With glosses and other notes...,"Weil, Jacob b. Judah",1684,Wilhemlsdorf,Wilhemlsdorf,,BHB,130979,Summer Cataloguing,#N/A
245,Halakhot Shehitah Bekitzur (in short),,Yehudah Leib Ben Itzhak Lipshitz,1691,Hamburg,Hamburg,,BHB,144699,Summer Cataloguing,"53.57916, 9.874556"
128,ʻOlat Yitsḥaḳ : hagahot ḥadashot ... ʻal sheḥiṭot u-vediḳot shel ... Yaʻaḳov Ṿayl.,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.",1692,Frankfurt an der Oder,Frankfurt,,WorldCat,80870348,WorldCat Export V3,"50.1109221, 8.6821267"
42,שחיטות ובדיקות," אחרי שראיתי רבים שאינם יכולים להזהר בכל הדינים מפני שהם מרובים, אמרתי... להדפיס בכרך קטן, כדי שיוכל לשאת אתו...",אלכסנדר סנדר בן מרדכי מפראג,1695,דיהרן פארט,Brzeg Dolny,,BHB,333557,BHB Export,"51.272827, 16.708557"
101,וזאת ליהודא : שחיטות ובדיקות. Ṿe-zot li-Yehuda : sheḥiṭot u-vediḳot.,,"יהודה ליב בן יצחק, דק״ק איידליץ, המאה ה־17. Judah Loew ben Isaac Lipschitz",1698,Fyorda,Furth,,WorldCat,850137826,WorldCat Export V3,"49.477117, 10.988667"
248,Al Shehitot u-vedikot shel haGaon Mahariv ,,"Weil, Jacob b. Judah",1700,Prague,Prague,,BHB,131034,Summer Cataloguing,"50.075538, 14.4378"
139,‏זבחו זבחי צדק :‏ ‏שחיטות ובדיקות /‏ Zivḥu zivḥe tsedeḳ : Sheḥiṭot u-vediḳot,,"ווייל, יעקב בן יהודה, המאה ה-15, מחבר. Jacob ben Judah Weil;  Tsevi Hirsh ben Yitsḥaḳ Yaʿaḳov, of Kraków; Solomon ben Joseph Proops",1701,Amsterdam,Amsterdam,,WorldCat,1130591972,WorldCat Export V3,"52.3702157, 4.8951679"
43,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הה""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1702,אמשטרדם,Amsterdam,,BHB,130983,BHB Export,"52.3702157, 4.8951679"
44,שחיטות ובדיקות," של... ר' יעקב ווייל... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק זצ""ל... הוגהו... על ידי שוחטים נאמנים וידועים ומומחים.","ווייל, יעקב בן יהודה",1705,דיהרן פארט,Brzeg Dolny,,BHB,313430,BHB Export,"51.272827, 16.708557"
249,Mahadura Batra al Shehitot u-vedikot shel,,"Weil, Jacob b. Judah",1705,Prague,Prague,,BHB,130984,Summer Cataloguing,"50.075538, 14.4378"
45,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף ... ר' בנימין וואלף בן הקדוש כהר""ר מאיר זצ""ל ווינטרניץ, שוחט ובודק פה ק""ק פראג, שליקט וחיבר כל חידושי דינים והלכות פסוקות מהפוסקים ...","ווייל, יעקב בן יהודה",1707,פראג,Prague,,BHB,130985,BHB Export,"50.075538, 14.4378"
250,Shehitot u-vedikot shel...,,"Weil, Jacob b. Judah",1709,Prague,Prague,,BHB,130986,Summer Cataloguing,"50.075538, 14.4378"
46,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הח""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1712,[הענא?],Hanau,,BHB,130987,BHB Export,"50.126412, 8.92831"
195,שחיטות ובדיקות בקצרה / Sheḥiṭot u-vediḳot bi-ḳtsarah,,"ווייל, יעקב. Jacob ben Judah Weil; Avraham ben Moshe Yeḳutiʼel Ḳoyfman Kats.",1712,Franḳfurṭ de-Mayn,Frankfurt,,WorldCat,1166818300,WorldCat Export V3,"50.1109221, 8.6821267"
263,Shehitot u-vedikot bi-ktsarah,,"Weil, Jacob b Judah",1713,Frankfurt am Main,Frankfurt,,WorldCat,116818300,Summer Cataloguing,"50.1109221, 8.6821267"
47,שחיטות ובדיקות," של מהרי""ו [עיין להלן] והגהות מהרר""ץ [ר' צבי ב""ר יצחק יעקב] עם כל הפוסקים... אשר כבר נדפסו בק""ק לובלין... בשנת תמ""ה ...","שפירא, יעקב בן יצחק",1719,הענא,Hanau,,BHB,171400,BHB Export,"50.126412, 8.92831"
48,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף ... רבי צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1720,[פראנקפורט דמיין],Frankfurt,,BHB,130988,BHB Export,"50.1109221, 8.6821267"
50,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף ... רבי צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1723,[גרמניה],Germany,,BHB,130992,BHB Export,#N/A
53,שחיטות ובדיקות,עם פירוש עולת יצחק,"ווייל, יעקב בן יהודה",1727,פיורדא,Furth,,BHB,130993,BHB Export,"49.477117, 10.988667"
